site,job_url,job_url_direct,title,company,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,emails,description
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009259879076,,"Software Engineer, Blockchain Infrastructure",Vanna Labs,,,2024-05-01,,,,,True,,"**What we are building**


Vanna Labs is building native on-chain AI inference, designed to deliver seamless and scalable inference secured by state-of-the-art cryptography. The Vanna Network is an EVM blockchain network that is a composable execution layer for on-chain AI. The network features access to scalable and secure model inference, allowing developers to seamlessly leverage AI models in composable smart contracts to create powerful decentralized applications and enable new use-cases.

**Who we are**


Our team is made up of experienced engineers from companies like Two Sigma, Palantir and Google, dedicated to driving the next generation of decentralized AI use-cases on the blockchain.


Join us on our mission to decentralize AI!

**The Role**


Vanna Labs is looking for a talented and self-driven software engineer with a focus on blockchain infrastructure to join our world-class team. The ideal candidate will have a strong background in distributed systems, networking, and blockchain infra. You will play a crucial role in designing, developing, and optimizing the infrastructure that powers our EVM-based decentralized inference network. Your responsibilities will include:

* Ownership over scalable and reliable blockchain infrastructure components, including consensus mechanisms, peer-to-peer networking, virtual machines, and data availability solutions
* Optimize blockchain infrastructure and algorithms for performance, scalability, and security
* Conduct research and experimentation with emerging blockchain technologies and consensus mechanisms
* Collaborate with product, research and engineering teams to build the best decentralized AI network
* Design, build, test and deploy large-scale decentralized systems

**Qualifications**

* Strong proficiency in software development with experience in distributed systems, networking, and concurrent programming
* At least 3-4 years of experience in distributed systems or blockchain technology
* Expertise in blockchain technology, cryptographic principles, and consensus mechanisms
* Deep understanding of Ethereum/EVM/L1/L2 technologies
* Fluent in systems languages such as Go and Rust
* Excellent problem-solving and analytical skills with attention to detail, taking ownership of end-to-end solutions
* Thrives in autonomous and collaborative environments

**Why work with us**

* You’ll build cutting-edge infrastructure that will define the future of blockchain and AI
* You’ll receive competitive salary, equity, and token-share
* You’ll be part of a flat, results-driven organization with room for leadership and growth
* You'll work with a passionate team of engineers and researchers
* You’ll make impactful contributions from day one as an early engineer
* Flexible remote work environment with top benefits
* Paid company off-sites


Join us at Vanna Labs and be part of a team dedicated to revolutionizing decentralized AI on the blockchain. If you are passionate about technology, innovation, and shaping the future, we want to hear from you. Apply now and help us build the next generation of decentralized applications powered by AI."
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009257859968,,Blockchain Engineer (Contract),RevOpsforce,,,2024-04-29,,,,,True,,"**About RevOpsforce:**



RevOpsforce is a revenue operations workforce management firm supporting clients to unlock revenue potential through solutions that better align people, processes, data, and technology. We empower organizations with cutting-edge revenue operations management systems, seamlessly aligning sales, marketing, and customer service teams to unlock increased revenue and elevate overall company value. Whether their focus is on enhancing existing revenue generation, streamlining operations through specialized services, refining data management, or optimizing marketing and sales processes, we are their partner for agile and strategic growth support.



Our Expert Network is composed of the highest skilled and certified professionals in revenue operations. We leverage this network to solve our clients' most complex operational challenges.


**Type:** Contract - Expert Network


**Job Description:**



We are looking for a seasoned Blockchain Engineer who will play a pivotal role in enhancing our technological capabilities and contributing to our clients' revenue growth journey. You will collaborate with cross-functional teams, utilizing your deep understanding of blockchain technologies to design, develop, and implement innovative solutions that drive efficiency, security, and scalability. Your expertise will help us unlock new possibilities in revenue operations while ensuring the highest standards of quality and reliability.


**Responsibilities:**


* Lead the design, development, and deployment of blockchain-based solutions, including smart contracts, decentralized applications, and tokenization systems, tailored to the unique requirements of our clients.
* Collaborate with teams to architect blockchain solutions that align with business objectives and integrate seamlessly into existing processes.
* Evaluate and select appropriate blockchain platforms and frameworks based on the specific use cases and technical requirements.
* Conduct thorough testing and debugging of blockchain applications to ensure optimal performance, security, and reliability.
* Stay up-to-date with the latest advancements in blockchain technology, sharing your insights and expertise to drive continuous improvement within the organization.
* Provide technical guidance and mentorship to junior engineers, fostering a culture of learning and innovation.


**Qualifications:**


* Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
* 5+ years of hands-on experience in designing and developing blockchain solutions, including proficiency in languages such as Solidity, Rust, or Go.
* In-depth understanding of various blockchain platforms (Ethereum, Binance Smart Chain, etc.), consensus algorithms, and cryptographic principles.
* Proven track record of delivering successful blockchain projects from concept to production.
* Strong experience with smart contracts, token standards (ERC-20, ERC-721, etc.), and decentralized application development.
* Familiarity with blockchain security best practices and experience in conducting security audits.
* Proficiency in version control using Git and collaborative development workflows.
* Excellent problem-solving skills and ability to troubleshoot complex technical issues related to blockchain implementations.
* Effective communication skills, both verbal and written, to convey technical concepts to both technical and non-technical stakeholders.


**The Expert Network at RevOpsforce**



The new world of work is empowering, where the freedom to work on your terms has never been more attainable. Embrace the flexibility to choose where, when, and how you work, all within the evolving landscape of the gig economy and dynamic employee-employer relationships. At RevOpsforce, our commitment lies in crafting agile working arrangements that open doors to a wealth of contract opportunities, now easily accessible to you.


**What to Expect:**


**Project-based work:** Apply your RevOps expertise to various client projects, with engagements lasting multiple months.


**Flexible schedule**: Maintain a healthy work-life balance with a schedule ranging from 10-40 hours per week. Projects may not be consecutive, allowing you to structure your workweek as needed. This provides you with the freedom to pursue other interests or professional development during gaps between projects.


**Continuous learning**: Network with other top-tier RevOps professionals, fostering a collaborative environment for skill development and staying current in the industry.


**Who We're Looking For:**



The Expert Network seeks passionate RevOps professionals with:


* Strong experience in revenue operations functions
* A desire to contribute to impactful projects
* A commitment to staying current in the RevOps landscape
* A preference for a self-directed, project-based work style


**Join the Movement:**



The RevOpsforce Expert Network allows you to:


* Contribute to the success of our clients through strategic RevOps initiatives.
* Maintain work-life balance with a flexible schedule you control.
* Continuously develop your skills through collaboration with a skilled community.
* Be at the forefront of the evolving RevOps landscape.
* Curate your workload: The project-based nature, with potential gaps between engagements, allows you to manage your time effectively and pursue other opportunities or personal interests.


*We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.*


*Visit us at www.revopsforce.com*"
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009249714443,,Senior Software Engineer,Coalesce,,,2024-04-23,yearly,145000.0,170000.0,USD,True,,"The engineering team maintains the Coalesce Front-end application, our back-end, the Coalesce CLI tool (coa), our shared modules and the testing codebase. Given the nature of our application, an interest or understanding of Computer Science fundamentals, writing robust code and the ability to find simplicity in complex problems is key.


Our stack is Typescript / React / Redux / Node.js. Our codebase has been intentionally designed to enable developers to build features and improvements efficiently. Individual engineers typically ""own"" features, going through the entire development cycle from concept to design to implementation and testing all without requiring the typical back and forth between multiple separate teams.

**Key Responsibilities**

* Refactor and improve existing code toward better reusability and maintainability
* Contribute to building new features, functionality and tests for the Coalesce Product
* Identify codebase improvements and deliver improvements iteratively
* Participate in requirements gathering, software design, testing and customer support
* Serve as an architectural resource for software engineers
* Contribute to planning and prioritization discussions with Product, Customer Success and Sales Engineering

**Qualifications**

* Experience with Typescript, React Hooks + Redux, Node.JS, Javascript, CSS - or other relevant experience in strongly-typed languages (C++ / Java / Go / Rust / Strongly-typed Python)
* Experience with Algorithms and Data Structures
* Experience with Asynchronous programming including any of the following - ES6 Promises / Callbacks / Async Await / Redux Thunks or Saga
* Experience working with and/or building and maintaining complex software codebases
* Experience with transactions, synchronization, atomicity, idempotency and distributed programming concepts
* Experience with good software design and best practices
* Experience with software testing and the software development lifecycle

**You may be a good fit if**

* You are interested in data analytics
* You are interested in the process of building new software products
* You have a deep passion or interest in building great software
* You work well independently in a remote-first setting


Since founding Coalesce in 2020, our mission has remained the same: to improve the lives of data professionals by helping them transform data as efficiently as possible. We aim to bring an end to the days of arduous manual coding and inflexible GUIs by providing a best of both worlds solution.


Coalesce is a fully remote and culture-first company. We believe that our culture is what allows us to not only recruit world-class talent, but also retain it. At Coalesce, you can expect to experience radical honesty, trust in the workplace empathy for yourself and others, and support for continuous learning and improvement.

*US Benefits: Coalesce offers the following benefits for this position, subject to applicable eligibility requirements: Medical insurance; Dental insurance; Vision insurance; Life, AD&D, and Disability Insurance; Unlimited Paid Time off, Paid Sick Time, Equity, Internet Reimbursement, WFH Office Set-Up Reimbursement, 401(k) retirement plan, and Company Annual Leave between December 26- January 2.*


Compensation Range: $145K - $170K"
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009229432456,,Software Engineer,Function Health,,,2024-04-10,,,,,True,,"### **Company Overview****:**


At Function Health, our mission is to empower individuals to take control of their health. Through our innovative platform, we offer comprehensive health insights through over 100+ lab tests, tracking health changes over time, and providing actionable, easy-to-understand results all made affordable and accessible to everyone.


Our leadership doesn't just talk the talk; they've been at the helm of technological innovation and medical excellence. Led by tech visionaries and the esteemed Dr. Mark Hyman of Cleveland Clinic fame—a 15-time New York Times bestselling author—our team is a dynamic blend of pioneering spirits and medical mavericks. As we gear up for our next growth phase, we're looking for exceptional talent to join our ranks.


We're calling all innovators, disruptors, and those with a penchant for challenging the status quo to join us. Our technical leadership boasts alumni from the ranks of Google Research, where they spearheaded machine learning initiatives that have been deployed at an unprecedented scale. If you're drawn to the idea of leveraging technology to make a tangible difference in people's lives and have the skills to contribute to a platform that's changing the face of healthcare, Function Health is where you can leave your mark. Let's redefine health care together, one innovation at a time.


### **Role****:**


We are seeking TWO confident, competent, and gritty Software Engineers to join our dynamic team.


As a Software Engineer at Function, you'll be part of a team that's dedicated to using technology to improve healthcare. You'll work on a cutting-edge platform that enables our members to access their health data in real time, and you'll be challenged to make a difference in people's lives. You will work with our product and engineering teams to create scalable and robust solutions that are user-friendly and highly secure.


The ideal candidate will be meticulous in their attention to detail, self-motivated, resourceful, and capable of thriving in a fast-paced environment. As an early member of our tech team, you're contributions will play a critical role in shaping the future of our systems as we scale from currently thousands of members to millions. There is no ceiling for growth or impact in this role.


Applicants seeking an easy job, a big corporation, a slow pace, or predictable 9-to-5 hours need not apply. This role requires energy, talent, and a genuine passion for Function's mission.


### **Key Responsibilities****:**


* **Design, Development, and Maintenance:** Take the lead in designing, developing, and maintaining our platform. You will be expected to ensure that all code is of high quality and adheres to best practices in software development. Your role will be crucial in making sure that our platform remains robust, scalable, and future-proof.
* **Cross-functional Collaboration:** Work closely with teams across different functions to brainstorm, design, and implement new features and functionalities. Your contributions will be key to providing our users with a seamless and intuitive experience. Collaboration and communication skills will be vital as you work to integrate diverse perspectives into tangible solutions.
* **Technical Problem-Solving:** Identify and address technical challenges, ensuring the platform remains up-to-date and performs at its best. Your problem-solving skills will be crucial in diagnosing issues quickly and implementing effective solutions to maintain the reliability and efficiency of our platform.
* **Code Reviews and Quality Assurance:** Participate actively in code review processes, providing constructive feedback to peers. Your insights will help elevate the overall quality and maintainability of the codebase, fostering a culture of excellence and attention to detail.
* **Mentorship:** Serve as a mentor to junior engineers, guiding them in their professional development. Your role will involve promoting a culture of continuous learning and growth, encouraging team members to expand their skills and knowledge.
* **Continuous Learning and Innovation:** Keep abreast of the latest technologies, tools, and industry trends. Your ability to learn and apply new technologies to solve business problems will be critical in driving innovation and ensuring our platform stays ahead of the curve.

### **Qualifications/Skills****:**


* **Software Engineering Experience:** At least 5 years of experience in software engineering, with a proven track record of developing scalable and reliable systems. Your experience should highlight your ability to tackle complex engineering challenges and contribute to the long-term resilience and growth of our platform.
* **Programming Expertise:** Proficiency in at least one programming language (Python, GO, Rust, Java). Your deep understanding of your chosen language(s) will be fundamental in crafting efficient, robust, and maintainable code.
* **Cloud and Containerization Technologies:** Experience with cloud-based platforms (AWS, Google Cloud) and containerization technologies (Docker). Familiarity with these technologies is essential for developing modern, scalable applications that can be deployed and managed efficiently.
* **Engineering Principles and Practices:** A strong grasp of software engineering principles and best practices, including but not limited to Agile methodologies, test-driven development, and continuous integration and deployment. Your commitment to these practices will ensure the delivery of high-quality software and facilitate a culture of excellence within our team.
* **Problem-Solving and Analytical Skills:** Exceptional ability to analyze complex systems, identify problems, and develop effective solutions. Your problem-solving skills will be key in ensuring our platform's reliability and performance.

### **To be a strong fit you also need:**


* **Bias Toward Action:** Demonstrated ability to take initiative, make decisions under uncertainty, and move projects forward even in the face of ambiguity. We value individuals who are self-starters and ready to act on opportunities and challenges alike.
* **Entrepreneurial Spirit:** Strong adaptability to changing business needs with a knack for building and optimizing processes. Your entrepreneurial mindset will be crucial in navigating the dynamic landscape of our industry, ensuring our platform remains competitive and responsive to user needs.
* **Communication:** Excellent communication skills, capable of explaining complex technical concepts to non-technical stakeholders. Effective communication is vital for cross-functional collaboration and ensuring alignment across our organization.
* **Remote Work Adaptability:** Comfort with remote work environments, demonstrating the ability to stay productive and connected with the team irrespective of physical location.
* **Continuous Improvement:** A willingness to question assumptions and a commitment to continuous improvement. Your openness to feedback and dedication to personal and professional growth will contribute significantly to our collective success.

Your dedication to these responsibilities will directly contribute to the success of our platform and the satisfaction of our users. We are looking for a proactive, skilled, and forward-thinking individual to join our team and help shape the future of our services.


### **Nice-to-Have Skills and Experiences:**


While the core competencies are essential, the following qualifications will distinguish exceptional candidates:


* **Designing & Building Systems at Scale:** Experience in architecting and implementing systems designed to operate efficiently at a large scale. This skill is particularly valuable as it demonstrates the ability to handle the complexities associated with high-volume, high-availability services.
* **Data Engineering Expertise:** A background in data engineering, showcasing proficiency in managing, processing, and analyzing large datasets to inform decision-making and product improvements.
* **Start-Up Experience:** We highly value individuals with start-up experience, especially former founders or early engineering hires. This experience indicates a versatile skill set and an ability to thrive in fast-paced, evolving environments.
* **Familiarity with Health Technologies:** Knowledge of or experience with popular health technologies, such as Oura, Whoop, Apple Watch, and CGMs (Continuous Glucose Monitors). An interest in or experience with health and wellness technologies suggests a passion for leveraging technology to improve personal and community health outcomes.

These additional skills and experiences are highly appreciated as they contribute to a more innovative, adaptable, and proactive team dynamic. Candidates who bring these strengths to the table will have the opportunity to leverage them in unique and impactful ways within our organization.


### **Why You'll Love Working With Us:**


* **Transition to Permanence:** Embark on a promising path from contract to hire, leading to a salaried position complete with a comprehensive benefits package. After a successful 3-month probation, enjoy two weeks of paid vacation annually, plus the flexibility to choose from 13 holidays — tailoring your time off to what matters most to you.
* **Empowerment in Your Role:** Revel in the autonomy to handpick projects that resonate with your passion and expertise. Thrive in a supportive atmosphere where your independence is cherished, free from the constraints of micromanagement.
* **Collaborative and Innovative Culture:** Become part of a vibrant community that not only values but thrives on collaboration and innovation. Here, swift execution and the celebration of fresh ideas are the bedrock of our success.

We value our team at Function and offer a competitive salary and benefits package, flexible working hours, and a dynamic work environment where creativity and innovation are encouraged. If you are a highly motivated and experienced individual who is passionate about using technology to improve people's lives, we would love to hear from you.


Join the Function Health team and become a part of our mission to revolutionize healthcare. Work with us to make a difference in the lives of thousands, ensuring a healthier future for all. Discover more about us and how we're changing the face of healthcare at Function Health (https://www.functionhealth.com/).


### **FAQ's**


* What is Function's approach to remote work?
	+ Function is 100% remote across the United States, from Austin to New York to San Francisco. We meet up in person on occasion.
* Who works at Function?
	+ At Function, our expanding team boasts globally recognized leaders, including esteemed professionals like Dr. Hyman (https://www.instagram.com/drmarkhyman/), and visionary executives such as Mike (https://www.linkedin.com/in/mikenemke/), Jonathan (https://www.linkedin.com/in/jonathanswerdlin/), Pranitha (https://www.linkedin.com/in/pranithapatil/)
* What's the interview process like?
	+ First, you'll interact with our recruiters as an initial screening to go over your background and ensure a skills fit.
	+ Second, you'll have a quick intro call with the team lead. On this call, we're looking to understand your interests, experience, and if you're a culture fit.
	+ Third, we'll do a short coding challenge + technical interview all on a Zoom call.
	+ Finally, we'll send an offer. If we don't give an offer, we'll provide feedback.

At Function, we celebrate diversity and are committed to building a diverse and inclusive workforce. As an equal opportunity employer, we do not discriminate on the basis of race, color, gender identity, ancestry, religion, age, sexual orientation, national origin, disability, marital status, Veteran status, or any other occupationally irrelevant criteria."
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009216078333,,Software Development Engineer,Razer USA Ltd.,,,2024-04-02,,,,,True,,"Joining Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work, offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric #LifeAtRazer experience that will put you in an accelerated growth, both personally and professionally.
Job Responsibilities :
THX is looking for a Software Development Engineer to enable and assist in the development of next-generation, personalized audio spatialization technologies for implementation into mobile computing and interactive consumer electronics platforms.
Essential Duties and Responsibilities* Develop and refine new sensor fusion-based technologies to provide interactive control of the audio spatialization engine, including but not limited to head tracking, face pose tracking, or other machine learning / computer vision considerations.
* Collaborate with UX / UI design, engineering, and QA staff to implement design-to-code workflows, to facilitate the rapid prototyping, testing, and continuous delivery of robust, engaging user experiences.
* Develop new components for internal testing and instrumentation applications, as well as external (partner) applications, as applicable.
* Develop unit, functional and integration test frameworks, to ensure consistent behavior across all supported platforms, while encouraging practical, componentized re-use.
* Evaluate and analyze 3rd party competitors and offerings.
* Other duties as assigned.
  

Pre-Requisites :
Qualifications
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.* Software development experience required, including data and resource modeling, source code creation, compilation, optimization, and delivery.
* Development proficiency in C, C++, Rust, WebAssembly, or other languages such as Java, C#, Go, Python, JavaScript, Dart, Lua et al.
* Experience developing and integrating algorithms, tests, and utilities, and other high- or low-level libraries into application building blocks, drivers, operating system integrations, and platform-specific DSP components.
* A passion for audio technologies.
  

The following are preferred but not required:* Experience with audio processing frameworks and tools specific to AU, VST3, and AAX plugin development, including but not limited to JUCE (C++), Cmajor, ASPiK, iPlug2, the Mozilla Web Audio API, and other relevant frameworks.
* Experience with 2D and 3D vector graphics and screen compositing APIs, including but not limited to OpenGL, SDL, WebGL, Metal and DirectX.
* Experience with game engine development, including but not limited to Unity, Unreal Engine, Wwise, FMOD, or other relevant engines or frameworks.
* Advanced problem-solving skills, demonstrating a high degree of analytical and critical thinking.
* An ability to work effectively within and across teams as well as with individuals of all levels.
* Strong time management, prioritization, and organizational skills with an attention to detail.
* An ability to work in a fast paced and multi-entity environment.
* A strong track record dealing well with ambiguity, prioritizing needs, and delivering measurable results in an agile environment.
* Good design and problem-solving skills.
* Excellent communication skills, both verbal and written.
* Effective collaboration skills, with experience in building technical partnerships across teams.
* An ability to own and deliver projects and results of growing technical complexity.
  

Education & Experience
BA/BS degree or certification in Computer Science, Mathematics, Game Application Development, User Experience, Interaction or Visual Design disciplines, or equivalent work experience will be considered.
Salary Ranges (per annum):
$102,752.00 - $213,324.00
Disclaimer: Exact compensation may vary based on skills, experience, and location.
Are you game?"
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009207903429,,"Software Engineer, Real Time Infrastructure",Discord,"San Francisco, CA",,2024-03-28,yearly,131747.0,191682.0,USD,False,,"Discord is about giving people the power to create space to find belonging in their lives. We want to make it easier for you to talk regularly with the people you care about. We want you to build genuine relationships with your friends and communities close to home or around the world. Original, reliable, playful, and relatable. These are the values that connect our users and our employees at Discord. Join us in working on what makes Discord feel like a live and upbeat place! Our team's mission is to create the primitives allowing us to connect our users to one another in real-time. Practically speaking, it means we design and operate the core backend systems that allow more than 150M users to join their servers, have chats with their friends and receive real-time notifications when something interesting is happening on Discord. You will report to the Engineering Manager for Real-time Infrastructure. What you'll be doing Develop core primitives and infrastructure supporting real-time communication between hundreds of millions of users. Collaborate with product engineering teams to add new features. Ensure that our systems are reliable and that Discord just works. Write code but also manage our infrastructure’s operations. Work with a talented team of engineers who have built one of the largest communication platforms in the world. What you should have 2+ years of experience working with backend systems. You understand the basics of observability and monitoring. You excel in navigating complex and distributed systems and are excited about finding solutions to complex technical challenges. You are comfortable reading and writing code in large existing codebases. You enjoy coming up with pragmatic solutions to concrete problems using first principles thinking. You have strong communication skills and thrive in small, collaborative, energetic teams. Bonus Points Experience with Elixir, Erlang or Rust. Experience working with systems deployed in a cloud environment (GCP, AWS, etc.) Experience working with distributed systems. Knowledge of DevOps tools like Salt, Terraform or Kubernetes. You have built or contributed to open source projects. The US base salary range for this full-time position is $159,000 - $175,000 + equity + benefits. Our salary ranges are determined by role and level. Within the range, individual pay is determined by additional factors, including job-related skills, experience, and relevant education or training. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include equity, or benefits. #LI-Remote About Us Discord is a voice, video and text app that helps friends come together to hang out, have fun, and play games. With over 150 million monthly users, Discord has grown to become one of the most popular communications services in the world. Discord offers a premium subscription called Nitro that gives users special perks like higher quality streams and fun customizations. We’re working toward an inclusive world where no one feels like an outsider, where genuine human connection is a click, text chat, or voice call away. A place where everyone can find belonging. Challenging? Heck yes. Rewarding? Double heck yes. It’s a mission that gives us the chance to positively impact millions of people all over the world. So if this strikes a chord with you, come build belonging with us!"
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009199014630,,Software Engineer (Rust),Serotonin,,,2024-03-22,,,,,True,,"Are you a Software Engineer with experience using Rust ready to dive into the fast-paced world of cryptocurrency and blockchain technology? Do you thrive in dynamic environments where innovation is at the forefront? If so, we have the perfect opportunity for you!  

Our client is an exciting crypto exchange startup on a mission to revolutionize the way people trade digital assets. With a team of passionate individuals dedicated to driving change in the industry.  

If you're ready to be part of a dynamic team shaping the future of cryptocurrency trading, then we want to hear from you!  

  

**What we are looking for:*** Proficiency in Rust development
* 2+ years experience within crypto/ blockchain/ web3
* Experience connecting third party payment providers, banks, and local fiat channels with an exchange
* Optimisation and bug fixing
* Ownership of projects end-to-end.
* Experience of rapid growth and ability to work autonomously
* A degree in Computer Science or a background in low-level systems programming and distributed systems design
* Fluency in English

  

**Location:**
Offices in Chicago, Dubai, Tokyo or Remote"
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009094207423,,Blockchain Engineer,Monad,United States,,2024-01-27,yearly,200000.0,200000.0,USD,False,,"Founded by Jump Trading alums, Monad Labs is a tech startup using low-latency programming, compiler optimization, and multithreaded computing to build an ultra-high-performance smart contract platform. The work entails building an optimal stack-based VM that supports multithreaded computation, as well as developing and implementing an efficient Byzantine Fault Tolerant (BFT) algorithm enabling a network of nodes to come to consensus. We recently raised $225M in series A funding to scale our team in bringing the Monad blockchain to production.


**The Role**



Monad Labs is looking for a Blockchain Engineer to join the core engineering team. Your work will initially be focused on integrating the Monad blockchain with the outside world such as JSON-RPC, indexers, wallets, bridges, storage, analytics platforms, and applications.


**Who You Are**


* You have at least 4 years of software engineering experience
* You have prior experience in blockchain engineering at a Layer-1, Layer-2, or Infrastructure (Oracle, Bridge, Indexer, RPC Provider, Wallet, or other high-performance app) project
* You have backend engineering experience in low-level languages such as C, C++, or Rust
* You have built something significant from scratch
* You are a great communicator who is willing to participate in technical discussions, reviews, and documentation
* You value the following qualities that define Monad's Engineering team
+ Ability to DO things. When it comes to problem-solving, we value practicality and common sense.
+ Strong design skills (e.g. higher-level thinking about how system design, appropriate abstractions, maintainability, to name a few, work)
+ Excellence in whatever you have worked on before
+ Rigorous development mindset

  


  

**Why work with us**


* You'll work on extremely challenging problems with massive impact
* You'll work with and learn from a small, exceptional team (bios here: https://monad.xyz/team)
* You'll receive a competitive salary and competitive total compensation package.
* You'll shape the culture as an early employee and make impactful contributions from day one
* You'll be part of a flat, results-driven organization
* Your work will be deeply impactful


**Salary and benefits**



Minimum full-time salary of $200,000. (\*\*This is not a guarantee of compensation or salary; a final offer amount may vary based on factors including but not limited to experience and geographic location.)



Monad Labs' benefits include unlimited and encouraged paid time off; insurance coverage; home office equipment stipend; monthly wellness/fitness stipend; and 10 company-observed holidays."
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1008987389682,,Senior Rust Engineer,Pluto,United States,,2023-11-19,yearly,160000.0,260000.0,USD,False,,"Pluto is an applied cryptography organization that develops cutting-edge, developer and user-friendly tools for adding advanced cryptography to applications. We focus on leveraging zero knowledge protocols to expand the capabilities of what developers can do on-chain today. We are a hands-on, product-focused organization. We believe that cryptography holds the key to protecting the openness of the internet, and that's why we are dedicated to making cryptography as accessible as possible for developers everywhere.


We are a small team of builders. Our engineers previously worked at Uber, Stripe, Lockheed Martin and YC funded startups. Together with our investors Geometry and Variant, we are building at the frontier of Zero Knowledge Protocols. Our fully remote team is based in NYC and California.


We are hiring for a Senior Rust Engineer to help us build open-source Zero Knowledge developer tools. Your contributions will shape the product & technical strategy and present an opportunity to participate in building a new product from the ground up. We are looking for you if you have positive energy, an optimistic outlook about the future, and you are determined to get there. You embrace learning about new things and can pivot on the fly.

**What you’ll be doing:**

* Development of open-source Zero Knowledge developer tools
* Infrastructure tooling, which includes the development of CLIs, SDKs, and APIs.
* Development focused around Virtual Machine Instructions.

**What we look for in you:**

* Extensive experience with Rust
* Interest and passion for building secure, robust, scalable infrastructure
* Passion for building delightful developer experiences and pride in your craft
* Experience building open-source developer tools
* A high degree of ownership, taking responsibility for projects from inception to completion.

**Nice to haves:**

* Experience with zero-knowledge protocols
* Understanding of the internals of the Ethereum Virtual Machine (EVM) or other Virtual Machine architectures.
* Experience with Solidity and smart contract development.

**Benefits:**

* Medical Plan, Dental and Vision Plan with generous employee contributions
* Health Savings Account with company contributions each pay period
* Disability and Life Insurance
* Internet and Gym Membership Reimbursement
* Remote-First Stipend (Your choice of technical setup and equipment)
* Conference Travel Stipend
* Quarterly team offsites
* Open Vacation Policy


Compensation Range: $160K - $260K"
glassdoor,https://www.glassdoor.com/job-listing/j?jl=1008746344691,,Rust Backend Engineer,Svix,,,2023-07-07,yearly,130000.0,160000.0,USD,True,,"**Mission**
-----------


We are looking for a backend engineer with Rust experience to build performant message delivery at scale. You will get to solve interesting problems and technical challenges. We move fast, and speed of execution is one of our core values. We are obsessed with providing a great developer experience, and you will be expected to share this obsession.

**Outcomes**
------------

* Deploy high quality production code in a fast-paced environment.
* Help the team scale the product while ensuring stability and high availability.
* Build new features while providing a great developer experience for our customers.

**Competencies**
----------------

* Experience building production services with Rust.
* Be a clear communicator that is great to work with.
* Be obsessed with providing a great developer experience.
* Nice to have:


	+ Working at high scale and high availability environments

**Compensation**
----------------

* **Base Salary Range:** $130,000 - $160,000\*

**Equity:** We offer generous equity packages at Svix. As an owner, our success is your success.

**Benefits (US):** Health insurance (including vision and dental), long-term and short-term disability insurance, 401(k) retirement account, paid sick time and paid personal time off.


	+ *Svix is headquartered in New York and has employees across the globe. Salary will be based on skills, experience, and geographic location.*

### **General guidelines**

* We like candidates with varied backgrounds - don't be shy, apply!
* Hackers/OSS devs welcome, even without extensive work history. Checkout our OSS repo on Github.
* Please include a few words on why you'd like to work at Svix.
* All roles are full-time - no students or part-time.
* Applicable timezones: UTC-8 to UTC+3."
